Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
10121345,Angel,James Patterson,"Patterson, James",,0099544474,9780099544470,0,4.02,Random House Export,Paperback,291,2011,2011,2011/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Andy Mulligan,"Mulligan, Andy",,0385619022,9780385619028,0,3.66,David Fickling Books ,Paperback,211,2010,2010,2011/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Lauren Oliver,"Oliver, Lauren",,0061726834,9780061726835,0,3.97,HarperCollins,Paperback,441,2012,2011,2011/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Catherine Jinks,"Jinks, Catherine",,0152066152,9780152066154,0,3.45,Harcourt Children's Books,Hardcover,416,2011,2010,2011/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,J.R.R. Tolkien,"Tolkien, J.R.R.",,0618260307,9780618260300,0,4.27,Houghton Mifflin,Paperback,366,2002,1937,2011/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,2013/01/23,,,read,,,,1,,,0,,,,,
8113344,"Mortal Coil (Skulduggery Pleasant, #5)",Derek Landy,"Landy, Derek",,0007325983,9780007325986,0,4.47,HarperCollins Children's Books,Hardcover,604,2010,2010,2010/09/01,2013/01/23,,,read,,,,1,,,0,,,,,
4893390,"The Faceless Ones (Skulduggery Pleasant, #3)",Derek Landy,"Landy, Derek",,0007302142,9780007302147,0,4.4,HarperCollins Children's Books,Hardcover,395,2009,2008,2010/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
924061,"Playing with Fire (Skulduggery Pleasant, #2)",Derek Landy,"Landy, Derek",,0007257031,9780007257034,0,4.31,HarperCollins,Hardcover,320,2008,2008,2010/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
7261549,"Dark Days (Skulduggery Pleasant, #4)",Derek Landy,"Landy, Derek",,0007325940,9780007325948,0,4.44,Harper Collins Children's,Hardcover,415,2010,2010,2010/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
7592279,"The Emperor of Nihon-Ja (Ranger's Apprentice, #10)",John Flanagan,"Flanagan, John",,1741664489,9781741664485,0,4.42,Random House Australia,Paperback,487,2010,2011,2010/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
17309781,Fang (Maximum Ride #6),James Patterson,"Patterson, James",,0099543826,9780099543824,0,4.06,Arrow (Young),Paperback,336,2010,2010,2010/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Catherine Jinks,"Jinks, Catherine",,,9781741756722,0,3.49,,,336,2009,2009,2010/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Morris Gleitzman,"Gleitzman, Morris",,0670072788,9780670072781,0,4.4,Penguin,,182,2008,2008,2010/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Morris Gleitzman,"Gleitzman, Morris",,0143301950,9780143301950,0,4.24,Puffin,Paperback,160,2005,2005,2010/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Eoin Colfer,"Colfer, Eoin",,1423128192,9781423128199,0,3.98,Disney/Hyperion Books,Hardcover,357,2010,2010,2010/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Morris Gleitzman,"Gleitzman, Morris",,014132998X,9780141329987,0,4.06,Henry Holt,Paperback,169,2012,2010,2010/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
6622569,"Skulduggery Pleasant (Skulduggery Pleasant, #1)",Derek Landy,"Landy, Derek",,0007831900,9780007831906,0,4.13,HarperCollins Publishers,Paperback,371,2007,2007,2009/09/01,2013/01/23,,,read,,,,1,,,0,,,,,
6235397,"Max (Maximum Ride, #5)",James Patterson,"Patterson, James",,0385614527,9780385614528,0,4.06,,Hardcover,320,,2009,2009/05/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Neil Gaiman,"Gaiman, Neil",Chris Riddell,0747598843,9780747598848,0,4.14,Bloomsbury,Paperback,289,2008,2008,2009/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
1480078,Inkheart,Cornelia Funke,"Funke, Cornelia",,0545046262,9780545046268,0,3.89,Scholastic Paperbacks,Paperback,563,2009,2003,2009/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
939677,Time For The Stars,Robert A. Heinlein,"Heinlein, Robert A.",,0330020285,9780330020282,0,3.97,Pan Science Fiction,Mass Market Paperback,198,1973,1956,2009/01/01,2015/09/13,,,read,,,,1,,,0,,,,,
287861,"Mortal Engines (The Hungry City Chronicles, #1)",Philip Reeve,"Reeve, Philip",,0060082097,9780060082093,0,3.78,Harper Collins US UK,Paperback,326,2004,2001,2009/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Eoin Colfer,"Colfer, Eoin",,0141382708,9780141382708,0,3.77,Puffin,Hardcover,311,2006,2006,2009/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Eoin Colfer,"Colfer, Eoin",,078685149X,9780786851492,0,3.86,Disney-Hyperion,Paperback,267,2005,2004,2009/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Suzanne Collins,"Collins, Suzanne",,,,0,4.29,Scholastic,Paperback,472,2009,2009,2009/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
6348045,"Halt's Peril (Ranger's Apprentice, #9)",John Flanagan,"Flanagan, John",,1741663024,9781741663020,0,4.39,Random House Australia,Paperback,440,2009,2009,2009/01/01,2015/09/13,,,read,,,,1,,,0,,,,,
552892,"School's Out Forever (Maximum Ride, #2)",James Patterson,"Patterson, James",,0755335090,9780755335091,0,4.15,Headline Publishing Group,Paperback,457,2007,2006,2008/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
5962086,The City of Ember,Jeanne DuPrau,"DuPrau, Jeanne",,0552559989,9780552559980,0,3.86,Corgi Books,Paperback,288,2008,2003,2008/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
828627,"The Angel Experiment (Maximum Ride, #1)",James Patterson,"Patterson, James",,0755321944,9780755321940,0,4.08,Headline,Paperback,454,2006,2005,2008/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
2752930,"Saving the World and Other Extreme Sports (Maximum Ride, #3)",James Patterson,"Patterson, James",,0755322029,9780755322022,0,4.15,Headline Publishing Group,Paperback,434,2008,2007,2008/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
6720493,"The Final Warning (Maximum Ride, #4)",James Patterson,"Patterson, James",,0552558117,9780552558112,0,3.86,,Paperback,320,,2008,2008/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Eoin Colfer,"Colfer, Eoin",,0141321318,9780141321318,0,4.05,Puffin,Paperback,352,2006,2003,2008/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Eoin Colfer,"Colfer, Eoin",,0141315490,9780141315492,0,4.05,Penguin UK,Paperback,368,2006,2005,2008/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Eoin Colfer,"Colfer, Eoin",,0141320796,9780141320793,0,4,Penguin UK,Paperback,400,2007,2006,2008/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Eoin Colfer,"Colfer, Eoin",,0141383348,9780141383347,0,4.08,Penguin UK,Paperback,384,2008,2008,2008/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Suzanne Collins,"Collins, Suzanne",,1407109081,9781407109084,0,4.33,Scholastic,Paperback,436,2009,2008,2008/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Eoin Colfer,"Colfer, Eoin",,0141383356,9780141383354,0,4.14,Puffin,Hardcover,424,2008,2007,2008/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
1006865,Oakleaf Bearers (Ranger's Apprentice #4),John Flanagan,"Flanagan, John",,1741660823,9781741660821,0,4.34,Random House Australia,Paperback,325,2006,2006,2008/01/01,2015/09/13,,,read,,,,1,,,0,,,,,
11553836,"The Burning Bridge (Ranger's Apprentice, #2)",John Flanagan,"Flanagan, John",,1864719052,9781864719055,0,4.3,Random House Australia,Paperback,293,2009,2005,2008/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
2893760,The Icebound Land,John Flanagan,"Flanagan, John",,1741660211,9781741660210,0,4.23,Randon House,Paperback,305,2005,2005,2008/01/01,2015/09/13,,,read,,,,1,,,0,,,,,
6456514,"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,"Flanagan, John",,0759320756,9780759320758,0,4.22,Random House Australia,Paperback,288,2004,2004,2008/01/01,2015/09/13,,,read,,,,1,,,0,,,,,
5201089,"The Kings of Clonmel (Ranger's Apprentice, #8)",John Flanagan,"Flanagan, John",,1741663016,9781741663013,0,4.3,Random House,Paperback,320,2010,2008,2008/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Eoin Colfer,"Colfer, Eoin",Sian Melangell Dafydd,0786851473,9780786851478,0,3.95,Hyperion Books for Children,Paperback,398,2004,2002,2007/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,Eoin Colfer,"Colfer, Eoin",,0786817879,9780786817870,0,3.85,Disney-Hyperion,Paperback,396,2003,2001,2007/01/01,2013/01/23,,,read,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,2013/01/23,,,read,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,2013/01/23,,,read,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,2013/01/23,,,read,,,,1,,,0,,,,,
