Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
52373,Regarding the Pain of Others,Susan Sontag,"Sontag, Susan",,"=""0141012374""","=""9780141012377""",0,4.05,Penguin,Paperback,117,2004,2003,,2020/06/28,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
23646773,She Commands Me and I Obey (Imperial Radch #0.6),Ann Leckie,"Leckie, Ann",,"=""""","=""""",4,3.77,Strange Horizons,ebook,25,2014,2014,2020/10/16,2020/08/28,,,read,,,,1,,,0,,,,,
22452306,Night's Slow Poison (Imperial Radch #0.5),Ann Leckie,"Leckie, Ann",,"=""""","=""""",3,3.59,tor.com,ebook,20,2014,2012,2020/10/15,2020/08/28,,,read,,,,1,,,0,,,,,
32051585,We Crossed a Bridge and It Trembled: Voices from Syria,Wendy Pearlman,"Pearlman, Wendy",,"=""0062654454""","=""9780062654458""",5,4.62,Custom House,ebook,352,2017,2017,2020/10/15,2020/09/13,,,read,,,,1,,,0,,,,,
52339313,Cemetery Boys,Aiden Thomas,"Thomas, Aiden",,"=""1250250463""","=""9781250250469""",0,4.49,Swoon Reads,Hardcover,352,2020,2020,,2020/10/14,to-read,to-read (#239),to-read,,,,0,,,0,,,,,
25526296,"Every Heart a Doorway (Wayward Children, #1)",Seanan McGuire,"McGuire, Seanan",,"=""0765385503""","=""9780765385505""",0,3.81,Tor.com,Hardcover,173,2016,2016,,2020/10/14,to-read,to-read (#238),to-read,,,,0,,,0,,,,,
29939230,"A Conjuring of Light (Shades of Magic, #3)",V.E. Schwab,"Schwab, V.E.",,"=""0765387468""","=""9780765387462""",0,4.34,Tor Books,Hardcover,624,2017,2017,,2020/10/14,to-read,to-read (#237),to-read,,,,0,,,0,,,,,
20764879,"A Gathering of Shadows (Shades of Magic, #2)",V.E. Schwab,"Schwab, V.E.",,"=""0765376474""","=""9780765376473""",0,4.26,Tor Books,Hardcover,512,2016,2016,,2020/10/14,to-read,to-read (#236),to-read,,,,0,,,0,,,,,
22055262,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,"Schwab, V.E.",,"=""0765376458""","=""9780765376459""",0,4.07,Tor Books,Hardcover,400,2015,2015,,2020/10/14,to-read,to-read (#235),to-read,,,,0,,,0,,,,,
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,"=""0765387565""","=""9780765387561""",0,4.54,Tor Books,Hardcover,448,2020,2020,,2020/10/14,to-read,to-read (#234),to-read,,,,0,,,0,,,,,
25353286,Provenance,Ann Leckie,"Leckie, Ann",,"=""""","=""""",4,3.82,Orbit,Kindle Edition,481,2017,2017,2020/10/09,2020/08/28,,,read,"I love anything Ann Leckie and this was no different but this is the weakest book of her I have read so far.<br/>TLDR:<br/>The plot is action packed, the world rich but I feel the characters are lacking. They lack any real depth or even arc and some of them read different than they should.<br/><br/>The good:<br/>The worldbuilding is superb, Hwae feels like a real place, with geography, history, customs, language...I felt like I really was there in the world.<br/><br/>There is also a mayor point regarding belonging, (provenance) and the choice to live our lives. A point is made that we get to choose how important things are to us whether they have inherent value or not, even if they are fake, what they represent can still be valuable and worth protecting. The same happens with personal history, while we all have a past, we get to choose our own way and make pur own family if we so choose. Which leads me into the bad.<br/><br/><br/>The bad:<br/>The main character is Ingred a human from Hwae, regular human, NOT Radchaii, in fact the difference is brought up several times but she still reads like a Radchaii character, with the same way of seeing the world and reacting to it, except she is obsessed with serbat and not tea, but thats the only difference. <br/><br/>I felt like the rest of the characters had an interesting premise but they were never explored or developed, including Ingred and it feels so wrong. The relationships between the characters also lack development and cohesiveness and the jump from enemies to friends, or from friends to frenemies to associates,  with barely any explanation as to how or why. This is particularly glaring as the plot feels like its angling towards the “found family” trope (a favourite of mine) but doesn’t deliver because the relationships are weak and don’t feel impactful.<br/><br/>The character structure also skips some time between chapters which feels like a way to glare over some plot (holes?) and simply avoid giving an explanation.",,,1,,,0,,,,,
52375,Illness as Metaphor and AIDS and Its Metaphors,Susan Sontag,"Sontag, Susan",,"=""0312420137""","=""9780312420130""",0,3.97,Picador USA,Paperback,183,2001,1989,,2020/10/09,to-read,to-read (#233),to-read,,,,0,,,0,,,,,
51319852,The Scavenger Door (Finder Chronicles #3),Suzanne Palmer,"Palmer, Suzanne",,"=""""","=""""",0,0.0,DAW Books,,,2021,2021,,2020/10/09,to-read,to-read (#232),to-read,,,,0,,,0,,,,,
53005399,"Driving the Deep (Finder Chronicles, #2)",Suzanne Palmer,"Palmer, Suzanne",,"=""0756415063""","=""9780756415068""",0,4.43,DAW,Hardcover,432,2020,2020,,2020/10/09,to-read,to-read (#231),to-read,,,,0,,,0,,,,,
40796392,"Finder (Finder Chronicles, #1)",Suzanne Palmer,"Palmer, Suzanne",,"=""""","=""""",4,3.87,DAW,Kindle Edition,400,2019,2019,2020/10/06,2020/09/21,,,read,,,,1,,,0,,,,,
17465709,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",Robin Wall Kimmerer,"Kimmerer, Robin Wall",,"=""1571313354""","=""9781571313355""",0,4.56,Milkweed Editions,Hardcover,391,2013,2013,,2020/10/06,to-read,to-read (#230),to-read,,,,0,,,0,,,,,
49003616,"A Beautifully Foolish Endeavor (The Carls, #2)",Hank Green,"Green, Hank",,"=""152474347X""","=""9781524743475""",0,4.36,Dutton,Hardcover,452,2020,2020,,2020/10/06,to-read,to-read (#229),to-read,,,,0,,,0,,,,,
24233708,"An Absolutely Remarkable Thing (The Carls, #1)",Hank Green,"Green, Hank",,"=""""","=""""",0,4.02,Dutton,Kindle Edition,343,2018,2018,,2020/10/06,to-read,to-read (#228),to-read,,,,0,,,0,,,,,
38657042,"Remember It!: The Names of People You Meet, All of Your Passwords, Where You Left Your Keys, and Everything Else You Tend to Forget",Nelson Dellis,"Dellis, Nelson","Adam Hayes, Sanjay Gupta","=""1419732560""","=""9781419732560""",0,4.16,Harry N. Abrams,Paperback,240,2018,,,2020/10/06,to-read,to-read (#227),to-read,,,,0,,,0,,,,,
49814228,"The Biggest Bluff: How I Learned to Pay Attention, Master Myself, and Win",Maria Konnikova,"Konnikova, Maria",,"=""052552262X""","=""9780525522621""",0,4.19,Penguin Press,Hardcover,368,2020,2020,,2020/10/06,to-read,to-read (#226),to-read,,,,0,,,0,,,,,
16718,"Gun, With Occasional Music",Jonathan Lethem,"Lethem, Jonathan",,"=""0156028972""","=""9780156028974""",0,3.77,Mariner Books,Paperback,271,2003,1994,,2020/10/05,to-read,to-read (#225),to-read,,,,0,,,0,,,,,
823467,"Facing Codependence: What It Is, Where It Comes from, How It Sabotages Our Lives",Pia Mellody,"Mellody, Pia","Andrea Wells Miller, J. Keith Miller","=""0062505890""","=""9780062505897""",2,4.09,HarperOne,Paperback,272,2003,1989,2020/10/03,2020/08/31,,,read,"A confirmation bias compendium. <br/>It has no real information, no statistics and no science. Reads like the diary of a flip floppy person who is trying to convince themselves and us that they are “doing the right thing” but never manages as they contradict themselves repeatedly on several instances.<br/><br/>The author stresses the importance of avoiding neglect and providing physical nurturing to children, so making the witholding of food a mayor problem only to say in the next chapter that it’s ok to let the child go hungry if they forget their lunch because it’s discipline.<br/><br/>The same goes for spanking. Huge importance is given to the fact that some ways of hitting are worse for the shame they create than for the actual pain occasioned but the author then goes on to say that light spanking (up to a certain age) and slapping children on the head are an ok way to discipline them. <br/><br/>Mostly nonsensical “spiritual but not religious” new age bs.<br/><br/>I give it 2 stars because at least it has taught me the value of consistency and the consequences of the lack thereof<br/><br/>",,,1,,,0,,,,,
