Genre,Original Language,Title,Author,Pub Year,Country,Gender,Ethnicity,LGBTIQ+
Non-fiction,English,Fight LIke a Girl,Clementine Ford,2016,Australia,Woman,White Australian,
Fiction (Novel),English,Song of Solomon,Toni Morrison,1977,USA,Woman,African American,
Non-fiction,English,Where Do We Go From Here: Chaos or Community,Martin Luther King Jr.,1966,USA,Man,African American,
Non-fiction,English,The Good Immigrant,Multiple (Anthology),2016,UK,N/A,N/A,
Fiction (Novel),English,Doctor Who: The Good Doctor,Juno Dawson,2018,UK,Woman,White British,Trans woman
Non-fiction,English,Field Guide to Getting Lost,Rebecca Solnit,2005,USA,Woman,White American,
Fiction (Novel),English,Room,Emma Donoghue,2010,Ireland,Woman,Irish Canadian,
Fiction (Novel),English,The Shadow Girl,John Larkin,2011,Australia,Man,White Australian,
Fiction (Novel),English,I Hate Everyone But You,Gaby Dunn & Allison Raskin,2017,USA,Woman,White American,Bisexual
Fiction (Novel),English,How it Feels to Float,Helena Fox,2019,Australia,Woman,White Australian,
Fiction (Novel),Spanish,House of the Spirits,Isabel Allende,1982,Chile,Woman,Latina,
Fiction (Novel),English,The Yiddish Policemen's Union,Michael Chabon,2007,USA,Man,Jewish American,
Fiction (Novel),English,Skulduggery Pleasant: Bedlam,Derek Landy,2019,Ireland,Man,Irish,
Fiction (Novel),English,Tomorrow When the War Began,John Marsden,1993,Australia,Man,White Australian,
Fiction (Novel),English,In the Dead of Night,John Marsden,1994,Australia,Man,White Australian,
Fiction (Novel),English,Stories of Your Life and Others,Ted Chiang,2002,USA,Man,Chinese American,
Memoir/Autobiography,Spanish,My Invented Country,Isabel Allende,2003,Chile,Woman,Latina,
Fiction (Novel),English,Jack of Hearts (and other parts),L.C. Rosen,2018,USA,Man,White American,Gay man
Fiction (Novel),English,Disgrace,J.M Coetzee,1999,South Africa,Man,White South African,
Biography,English,Mountains Beyond Mountains,Tracy Kidder,2003,USA,Man,White American,
Fiction (Novel),English,On the Come Up,Angie Thomas,2019,USA,Woman,African American,
Non-fiction,English,Growing Up Queer in Australia,Multiple (Anthology),2019,Australia,N/A,N/A,Queer
Memoir/Autobiography,English,Some Assembly Required,Arin Andrews,2014,USA,Man,White American,Trans man
Fiction (Novel),Swedish,The Summer Book,Tove Jansson,1972,Finland,Woman,Finnish,
Non-fiction,English,Call Them by Their True Name,Rebecca Solnit,2018,USA,Woman,White American,
Fiction (Novel),English,We Need New Names,NoViolet Bulawayo,2013,Zimbabwe,Woman,Zimbabwean,
