Author,Gender,Countries
James Patterson,male,United States of America (North America)
Andy Mulligan,male,United Kingdom (Western Europe)
Lauren Oliver,female,United States of America (North America)
Catherine Jinks,female,Australia (Oceania)
J.R.R. Tolkien,Unknown,Unknown (Unknown)
Derek Landy,male,Ireland (Western Europe)
Derek Landy,male,Ireland (Western Europe)
Derek Landy,male,Ireland (Western Europe)
Derek Landy,male,Ireland (Western Europe)
John Flanagan,male,Australia (Oceania)
James Patterson,male,United States of America (North America)
Catherine Jinks,female,Australia (Oceania)
Morris Gleitzman,male,Australia (Oceania) & Martinique (Lesser Antilles) 
Morris Gleitzman,male,Australia (Oceania) & Martinique (Lesser Antilles) 
Eoin Colfer,male,Ireland (Western Europe)
Morris Gleitzman,male,Australia (Oceania) & Martinique (Lesser Antilles) 
Derek Landy,male,Ireland (Western Europe)
James Patterson,male,United States of America (North America)
Neil Gaiman,male,United Kingdom (Western Europe)
Cornelia Funke,female,Germany (Western Europe)
Robert A. Heinlein,male,United States of America (North America)
Philip Reeve,male,United Kingdom (Western Europe)
Eoin Colfer,male,Ireland (Western Europe)
Eoin Colfer,male,Ireland (Western Europe)
Suzanne Collins,female,United States of America (North America)
John Flanagan,male,Australia (Oceania)
James Patterson,male,United States of America (North America)
Jeanne DuPrau,female,United States of America (North America)
James Patterson,male,United States of America (North America)
James Patterson,male,United States of America (North America)
James Patterson,male,United States of America (North America)
Eoin Colfer,male,Ireland (Western Europe)
Eoin Colfer,male,Ireland (Western Europe)
Eoin Colfer,male,Ireland (Western Europe)
Eoin Colfer,male,Ireland (Western Europe)
Suzanne Collins,female,United States of America (North America)
Eoin Colfer,male,Ireland (Western Europe)
John Flanagan,male,Australia (Oceania)
John Flanagan,male,Australia (Oceania)
John Flanagan,male,Australia (Oceania)
John Flanagan,male,Australia (Oceania)
John Flanagan,male,Australia (Oceania)
Eoin Colfer,male,Ireland (Western Europe)
Eoin Colfer,male,Ireland (Western Europe)
Elizabeth C. Bunce,Unknown,Unknown (Unknown)
Hannah Hart,female,United States of America (North America)
Benjamin Alire Sáenz,male,United States of America (North America)
Jennifer Niven,female,United States of America (North America)
G. Miki Hayden,female,United States of America (North America)
Charles Darwin,male,United Kingdom of Great Britain and Ireland (Western Europe)
Thomas Pynchon,male,United States of America (North America)
Nick Flynn,male,United States of America (North America)
Kevin Brooks,male,United Kingdom (Western Europe)
A.S. King,Unknown,Unknown (Unknown)
Ransom Riggs,male,United States of America (North America)
Naoki Higashida,male,Japan (East Asia)
