Author,Gender,Countries
Clementine Ford,female,Australia (Oceania)
Toni Morrison,female,United States of America (North America)
Martin Luther King Jr.,male,United States of America (North America)
Multiple (Anthology),Unknown,Unknown (Unknown)
Juno Dawson,transgender female,Unknown
Rebecca Solnit,female,United States of America (North America)
Emma Donoghue,female,Canada (North America) & Ireland (Western Europe) 
John Larkin,male,Unknown
Gaby Dunn & Allison Raskin,female,Unknown
Helena Fox,Unknown,Unknown
Isabel Allende,female,United States of America (North America) & Chile (Latin America) 
Michael Chabon,male,United States of America (North America)
Derek Landy,male,Ireland (Western Europe)
John Marsden,male,Unknown
John Marsden,male,Unknown
Ted Chiang,male,United States of America (North America)
Isabel Allende,female,United States of America (North America) & Chile (Latin America) 
L.C. Rosen,Unknown,Unknown
J.M Coetzee,male,South Africa (Southern Africa) & Australia (Oceania) 
Tracy Kidder,male,United States of America (North America)
Angie Thomas,female,United States of America (North America)
Multiple (Anthology),Unknown,Unknown (Unknown)
Arin Andrews,Unknown,Unknown (Unknown)
Tove Jansson,Unknown,Unknown
Rebecca Solnit,female,United States of America (North America)
NoViolet Bulawayo,female,Zimbabwe (Southern Africa)
